epoch,global_loss,test_loss
0,0.002882599048796098,0.0043778439388713905
1,0.002338277325112841,0.004157536673463053
2,0.0013568341535425802,0.002432433429122385
3,0.0008320401794681318,0.002813478406622178
4,0.0005603441693818574,0.002236495253034971
5,0.00040121390913592055,0.0020809292094781996
6,0.00034231064544804453,0.0027680481732305553
7,0.00025261520922960736,0.0022306372825470237
8,0.000258847716479847,0.002361778669162757
9,0.00023900990129416697,0.002192982006818056
10,0.00018994519204105538,0.0022707816019343833
11,0.0001771760555677284,0.0021081765822600572
12,0.00017865040156498345,0.0020098673451381427
13,0.0001455993181698246,0.0024125431813040955
14,0.00012244645275419613,0.0018791584621390535
15,0.00013674537979438484,0.0017960638829713895
16,0.00011232891583441247,0.0021764539369744144
17,0.00010359817221927058,0.002121337990198905
18,0.00011191865232320902,0.0022064260511089943
19,0.00012795727785065277,0.0019351453080566393
20,8.931098264207433e-05,0.002114585182668331
