step,site_index,x,y,is_removed,x_max,x_min,y_max,y_min
0,0,0.9705354927,-0.4701907031,0,7,-7,7,-7
0,1,-0.7233776448,0.3712880985,0,7,-7,7,-7
0,2,-0.9629744399,-0.5505964982,0,7,-7,7,-7
0,3,0.2727120981,-0.6523406866,0,7,-7,7,-7
0,4,-0.3994401338,0.1013734978,0,7,-7,7,-7
0,5,-0.9292459874,0.3585078377,0,7,-7,7,-7
0,6,-0.9129956793,0.1358076081,0,7,-7,7,-7
0,7,0.9100090307,0.0730579293,0,7,-7,7,-7
0,8,0.7026440047,0.6142648689,0,7,-7,7,-7
0,9,0.09226464624,0.316063396,0,7,-7,7,-7
0,10,0.9705354927,1.529809297,0,7,-7,7,-7
0,11,-0.7233776448,2.371288098,0,7,-7,7,-7
0,12,-0.9629744399,1.449403502,0,7,-7,7,-7
0,13,0.2727120981,1.347659313,0,7,-7,7,-7
0,14,-0.3994401338,2.101373498,0,7,-7,7,-7
0,15,-0.9292459874,2.358507838,0,7,-7,7,-7
0,16,-0.9129956793,2.135807608,0,7,-7,7,-7
0,17,0.9100090307,2.073057929,0,7,-7,7,-7
0,18,0.7026440047,2.614264869,0,7,-7,7,-7
0,19,0.09226464624,2.316063396,0,7,-7,7,-7
0,20,0.9705354927,3.529809297,0,7,-7,7,-7
0,21,-0.7233776448,4.371288098,0,7,-7,7,-7
0,22,-0.9629744399,3.449403502,0,7,-7,7,-7
0,23,0.2727120981,3.347659313,0,7,-7,7,-7
0,24,-0.3994401338,4.101373498,0,7,-7,7,-7
0,25,-0.9292459874,4.358507838,0,7,-7,7,-7
0,26,-0.9129956793,4.135807608,0,7,-7,7,-7
0,27,0.9100090307,4.073057929,0,7,-7,7,-7
0,28,0.7026440047,4.614264869,0,7,-7,7,-7
0,29,0.09226464624,4.316063396,0,7,-7,7,-7
0,30,2.970535493,-4.470190703,0,7,-7,7,-7
0,31,1.276622355,-3.628711902,0,7,-7,7,-7
0,32,1.03702556,-4.550596498,0,7,-7,7,-7
0,33,2.272712098,-4.652340687,0,7,-7,7,-7
0,34,1.600559866,-3.898626502,0,7,-7,7,-7
0,35,1.070754013,-3.641492162,0,7,-7,7,-7
0,36,1.087004321,-3.864192392,0,7,-7,7,-7
0,37,2.910009031,-3.926942071,0,7,-7,7,-7
0,38,2.702644005,-3.385735131,0,7,-7,7,-7
