step,site_index,x,y,is_removed,x_max,x_min,y_max,y_min
0,0,-0.1910843679,-0.1629504593,0,7,-7,7,-7
0,1,-0.4599965235,0.3825049722,0,7,-7,7,-7
0,2,0.4395612447,0.5306757389,0,7,-7,7,-7
0,3,-0.6250995325,-0.1501241746,0,7,-7,7,-7
0,4,0.1483663698,-0.4310325592,0,7,-7,7,-7
0,5,-0.9823371166,-0.4530999855,0,7,-7,7,-7
0,6,0.2189131541,0.3142216222,0,7,-7,7,-7
0,7,0.07013690193,0.03799132772,0,7,-7,7,-7
0,8,-0.1340488787,-0.9593708065,0,7,-7,7,-7
0,9,-0.5799127068,0.5049371668,0,7,-7,7,-7
0,10,-0.1910843679,1.837049541,0,7,-7,7,-7
0,11,-0.4599965235,2.382504972,0,7,-7,7,-7
0,12,0.4395612447,2.530675739,0,7,-7,7,-7
0,13,-0.6250995325,1.849875825,0,7,-7,7,-7
0,14,0.1483663698,1.568967441,0,7,-7,7,-7
0,15,-0.9823371166,1.546900015,0,7,-7,7,-7
0,16,0.2189131541,2.314221622,0,7,-7,7,-7
0,17,0.07013690193,2.037991328,0,7,-7,7,-7
0,18,-0.1340488787,1.040629193,0,7,-7,7,-7
0,19,-0.5799127068,2.504937167,0,7,-7,7,-7
0,20,-0.1910843679,3.837049541,0,7,-7,7,-7
0,21,-0.4599965235,4.382504972,0,7,-7,7,-7
0,22,0.4395612447,4.530675739,0,7,-7,7,-7
0,23,-0.6250995325,3.849875825,0,7,-7,7,-7
0,24,0.1483663698,3.568967441,0,7,-7,7,-7
0,25,-0.9823371166,3.546900015,0,7,-7,7,-7
0,26,0.2189131541,4.314221622,0,7,-7,7,-7
0,27,0.07013690193,4.037991328,0,7,-7,7,-7
0,28,-0.1340488787,3.040629193,0,7,-7,7,-7
0,29,-0.5799127068,4.504937167,0,7,-7,7,-7
0,30,1.808915632,-4.162950459,0,7,-7,7,-7
0,31,1.540003477,-3.617495028,0,7,-7,7,-7
0,32,2.439561245,-3.469324261,0,7,-7,7,-7
0,33,1.374900468,-4.150124175,0,7,-7,7,-7
0,34,2.14836637,-4.431032559,0,7,-7,7,-7
0,35,1.017662883,-4.453099985,0,7,-7,7,-7
0,36,2.218913154,-3.685778378,0,7,-7,7,-7
0,37,2.070136902,-3.962008672,0,7,-7,7,-7
0,38,1.865951121,-4.959370807,0,7,-7,7,-7
0,39,1.420087293,-3.495062833,0,7,-7,7,-7
