step,site_index,x,y,is_removed,x_max,x_min,y_max,y_min
0,0,0.6803780548,-0.2113853154,0,7,-7,7,-7
0,1,0.5662227235,0.5969423581,0,7,-7,7,-7
0,2,0.8232889556,-0.6048431364,0,7,-7,7,-7
0,3,-0.3296256066,0.5364012928,0,7,-7,7,-7
0,4,-0.4445341887,0.107620746,0,7,-7,7,-7
0,5,-0.04518364218,0.2576549377,0,7,-7,7,-7
0,6,-0.2703379412,0.02691950801,0,7,-7,7,-7
0,7,0.9045533246,0.8325247359,0,7,-7,7,-7
0,8,0.2714198348,0.4347450448,0,7,-7,7,-7
0,9,-0.7168669176,0.2140330061,0,7,-7,7,-7
0,10,0.6803780548,1.788614685,0,7,-7,7,-7
0,11,0.5662227235,2.596942358,0,7,-7,7,-7
0,12,0.8232889556,1.395156864,0,7,-7,7,-7
0,13,-0.3296256066,2.536401293,0,7,-7,7,-7
0,14,-0.4445341887,2.107620746,0,7,-7,7,-7
0,15,-0.04518364218,2.257654938,0,7,-7,7,-7
0,16,-0.2703379412,2.026919508,0,7,-7,7,-7
0,17,0.9045533246,2.832524736,0,7,-7,7,-7
0,18,0.2714198348,2.434745045,0,7,-7,7,-7
0,19,-0.7168669176,2.214033006,0,7,-7,7,-7
0,20,0.6803780548,3.788614685,0,7,-7,7,-7
0,21,0.5662227235,4.596942358,0,7,-7,7,-7
0,22,0.8232889556,3.395156864,0,7,-7,7,-7
0,23,-0.3296256066,4.536401293,0,7,-7,7,-7
0,24,-0.4445341887,4.107620746,0,7,-7,7,-7
0,25,-0.04518364218,4.257654938,0,7,-7,7,-7
0,26,-0.2703379412,4.026919508,0,7,-7,7,-7
0,27,0.9045533246,4.832524736,0,7,-7,7,-7
0,28,0.2714198348,4.434745045,0,7,-7,7,-7
0,29,-0.7168669176,4.214033006,0,7,-7,7,-7
0,30,2.680378055,-4.211385315,0,7,-7,7,-7
0,31,2.566222724,-3.403057642,0,7,-7,7,-7
0,32,2.823288956,-4.604843136,0,7,-7,7,-7
0,33,1.670374393,-3.463598707,0,7,-7,7,-7
0,34,1.555465811,-3.892379254,0,7,-7,7,-7
0,35,1.954816358,-3.742345062,0,7,-7,7,-7
0,36,1.729662059,-3.973080492,0,7,-7,7,-7
0,37,2.904553325,-3.167475264,0,7,-7,7,-7
0,38,2.271419835,-3.565254955,0,7,-7,7,-7
0,39,1.283133082,-3.785966994,0,7,-7,7,-7
0,40,2.680378055,-2.211385315,0,7,-7,7,-7
0,41,2.566222724,-1.403057642,0,7,-7,7,-7
0,42,2.823288956,-2.604843136,0,7,-7,7,-7
0,43,1.670374393,-1.463598707,0,7,-7,7,-7
0,44,1.555465811,-1.892379254,0,7,-7,7,-7
0,45,1.954816358,-1.742345062,0,7,-7,7,-7
0,46,1.729662059,-1.973080492,0,7,-7,7,-7
0,47,2.904553325,-1.167475264,0,7,-7,7,-7
0,48,2.271419835,-1.565254955,0,7,-7,7,-7
0,49,1.283133082,-1.785966994,0,7,-7,7,-7
0,50,2.680378055,-0.2113853154,0,7,-7,7,-7
0,51,2.566222724,0.5969423581,0,7,-7,7,-7
0,52,2.823288956,-0.6048431364,0,7,-7,7,-7
0,53,1.670374393,0.5364012928,0,7,-7,7,-7
0,54,1.555465811,0.107620746,0,7,-7,7,-7
0,55,1.954816358,0.2576549377,0,7,-7,7,-7
0,56,1.729662059,0.02691950801,0,7,-7,7,-7
0,57,2.904553325,0.8325247359,0,7,-7,7,-7
0,58,2.271419835,0.4347450448,0,7,-7,7,-7
0,59,1.283133082,0.2140330061,0,7,-7,7,-7
0,60,2.680378055,1.788614685,0,7,-7,7,-7
0,61,2.566222724,2.596942358,0,7,-7,7,-7
0,62,2.823288956,1.395156864,0,7,-7,7,-7
0,63,1.670374393,2.536401293,0,7,-7,7,-7
0,64,1.555465811,2.107620746,0,7,-7,7,-7
0,65,1.954816358,2.257654938,0,7,-7,7,-7
0,66,1.729662059,2.026919508,0,7,-7,7,-7
0,67,2.904553325,2.832524736,0,7,-7,7,-7
0,68,2.271419835,2.434745045,0,7,-7,7,-7
0,69,1.283133082,2.214033006,0,7,-7,7,-7
0,70,2.680378055,3.788614685,0,7,-7,7,-7
0,71,2.566222724,4.596942358,0,7,-7,7,-7
0,72,2.823288956,3.395156864,0,7,-7,7,-7
0,73,1.670374393,4.536401293,0,7,-7,7,-7
0,74,1.555465811,4.107620746,0,7,-7,7,-7
0,75,1.954816358,4.257654938,0,7,-7,7,-7
0,76,1.729662059,4.026919508,0,7,-7,7,-7
0,77,2.904553325,4.832524736,0,7,-7,7,-7
0,78,2.271419835,4.434745045,0,7,-7,7,-7
