step,site_index,x,y,is_removed,x_max,x_min,y_max,y_min
0,0,0.1317584065,0.2218618117,0,7,-7,7,-7
0,1,0.01146746769,-0.6407499599,0,7,-7,7,-7
0,2,0.6333476866,-0.6330007485,0,7,-7,7,-7
0,3,0.1691599871,-0.1555624056,0,7,-7,7,-7
0,4,-0.9492811931,-0.3673309803,0,7,-7,7,-7
0,5,-0.8773523625,-0.8327117571,0,7,-7,7,-7
0,6,0.9536147424,0.9559959358,0,7,-7,7,-7
0,7,0.7476853118,-0.8939819581,0,7,-7,7,-7
0,8,-0.4619169702,-0.8153309904,0,7,-7,7,-7
0,9,0.7618369464,0.1251502981,0,7,-7,7,-7
0,10,0.1317584065,2.221861812,0,7,-7,7,-7
0,11,0.01146746769,1.35925004,0,7,-7,7,-7
0,12,0.6333476866,1.366999252,0,7,-7,7,-7
0,13,0.1691599871,1.844437594,0,7,-7,7,-7
0,14,-0.9492811931,1.63266902,0,7,-7,7,-7
0,15,-0.8773523625,1.167288243,0,7,-7,7,-7
0,16,0.9536147424,2.955995936,0,7,-7,7,-7
0,17,0.7476853118,1.106018042,0,7,-7,7,-7
0,18,-0.4619169702,1.18466901,0,7,-7,7,-7
0,19,0.7618369464,2.125150298,0,7,-7,7,-7
0,20,0.1317584065,4.221861812,0,7,-7,7,-7
0,21,0.01146746769,3.35925004,0,7,-7,7,-7
0,22,0.6333476866,3.366999252,0,7,-7,7,-7
0,23,0.1691599871,3.844437594,0,7,-7,7,-7
0,24,-0.9492811931,3.63266902,0,7,-7,7,-7
0,25,-0.8773523625,3.167288243,0,7,-7,7,-7
0,26,0.9536147424,4.955995936,0,7,-7,7,-7
0,27,0.7476853118,3.106018042,0,7,-7,7,-7
0,28,-0.4619169702,3.18466901,0,7,-7,7,-7
0,29,0.7618369464,4.125150298,0,7,-7,7,-7
0,30,2.131758407,-3.778138188,0,7,-7,7,-7
0,31,2.011467468,-4.64074996,0,7,-7,7,-7
0,32,2.633347687,-4.633000748,0,7,-7,7,-7
0,33,2.169159987,-4.155562406,0,7,-7,7,-7
0,34,1.050718807,-4.36733098,0,7,-7,7,-7
0,35,1.122647637,-4.832711757,0,7,-7,7,-7
0,36,2.953614742,-3.044004064,0,7,-7,7,-7
0,37,2.747685312,-4.893981958,0,7,-7,7,-7
0,38,1.53808303,-4.81533099,0,7,-7,7,-7
0,39,2.761836946,-3.874849702,0,7,-7,7,-7
0,40,2.131758407,-1.778138188,0,7,-7,7,-7
0,41,2.011467468,-2.64074996,0,7,-7,7,-7
0,42,2.633347687,-2.633000748,0,7,-7,7,-7
0,43,2.169159987,-2.155562406,0,7,-7,7,-7
0,44,1.050718807,-2.36733098,0,7,-7,7,-7
0,45,1.122647637,-2.832711757,0,7,-7,7,-7
0,46,2.953614742,-1.044004064,0,7,-7,7,-7
0,47,2.747685312,-2.893981958,0,7,-7,7,-7
0,48,1.53808303,-2.81533099,0,7,-7,7,-7
0,49,2.761836946,-1.874849702,0,7,-7,7,-7
0,50,2.131758407,0.2218618117,0,7,-7,7,-7
0,51,2.011467468,-0.6407499599,0,7,-7,7,-7
