step,site_index,x,y,is_removed,x_max,x_min,y_max,y_min
0,0,0.3001563657,0.04835748212,0,7,-7,7,-7
0,1,-0.6211286955,0.1690770197,0,7,-7,7,-7
0,2,0.3923675015,-0.7217466785,0,7,-7,7,-7
0,3,0.7059011745,0.1416650467,0,7,-7,7,-7
0,4,0.8152888325,0.4796445898,0,7,-7,7,-7
0,5,-0.5589881059,-0.1713369652,0,7,-7,7,-7
0,6,0.1294051591,-0.8033507267,0,7,-7,7,-7
0,7,0.5678885287,0.4474455639,0,7,-7,7,-7
0,8,0.9551458813,0.1773740078,0,7,-7,7,-7
0,9,0.8100588523,-0.2246415489,0,7,-7,7,-7
0,10,0.3001563657,2.048357482,0,7,-7,7,-7
0,11,-0.6211286955,2.16907702,0,7,-7,7,-7
0,12,0.3923675015,1.278253321,0,7,-7,7,-7
0,13,0.7059011745,2.141665047,0,7,-7,7,-7
0,14,0.8152888325,2.47964459,0,7,-7,7,-7
0,15,-0.5589881059,1.828663035,0,7,-7,7,-7
0,16,0.1294051591,1.196649273,0,7,-7,7,-7
0,17,0.5678885287,2.447445564,0,7,-7,7,-7
0,18,0.9551458813,2.177374008,0,7,-7,7,-7
0,19,0.8100588523,1.775358451,0,7,-7,7,-7
0,20,0.3001563657,4.048357482,0,7,-7,7,-7
0,21,-0.6211286955,4.16907702,0,7,-7,7,-7
0,22,0.3923675015,3.278253321,0,7,-7,7,-7
0,23,0.7059011745,4.141665047,0,7,-7,7,-7
0,24,0.8152888325,4.47964459,0,7,-7,7,-7
0,25,-0.5589881059,3.828663035,0,7,-7,7,-7
0,26,0.1294051591,3.196649273,0,7,-7,7,-7
0,27,0.5678885287,4.447445564,0,7,-7,7,-7
0,28,0.9551458813,4.177374008,0,7,-7,7,-7
0,29,0.8100588523,3.775358451,0,7,-7,7,-7
0,30,2.300156366,-3.951642518,0,7,-7,7,-7
0,31,1.378871304,-3.83092298,0,7,-7,7,-7
0,32,2.392367502,-4.721746679,0,7,-7,7,-7
0,33,2.705901174,-3.858334953,0,7,-7,7,-7
0,34,2.815288833,-3.52035541,0,7,-7,7,-7
0,35,1.441011894,-4.171336965,0,7,-7,7,-7
0,36,2.129405159,-4.803350727,0,7,-7,7,-7
0,37,2.567888529,-3.552554436,0,7,-7,7,-7
0,38,2.955145881,-3.822625992,0,7,-7,7,-7
0,39,2.810058852,-4.224641549,0,7,-7,7,-7
0,40,2.300156366,-1.951642518,0,7,-7,7,-7
0,41,1.378871304,-1.83092298,0,7,-7,7,-7
0,42,2.392367502,-2.721746679,0,7,-7,7,-7
0,43,2.705901174,-1.858334953,0,7,-7,7,-7
0,44,2.815288833,-1.52035541,0,7,-7,7,-7
0,45,1.441011894,-2.171336965,0,7,-7,7,-7
0,46,2.129405159,-2.803350727,0,7,-7,7,-7
0,47,2.567888529,-1.552554436,0,7,-7,7,-7
0,48,2.955145881,-1.822625992,0,7,-7,7,-7
0,49,2.810058852,-2.224641549,0,7,-7,7,-7
0,50,2.300156366,0.04835748212,0,7,-7,7,-7
0,51,1.378871304,0.1690770197,0,7,-7,7,-7
0,52,2.392367502,-0.7217466785,0,7,-7,7,-7
0,53,2.705901174,0.1416650467,0,7,-7,7,-7
0,54,2.815288833,0.4796445898,0,7,-7,7,-7
0,55,1.441011894,-0.1713369652,0,7,-7,7,-7
0,56,2.129405159,-0.8033507267,0,7,-7,7,-7
0,57,2.567888529,0.4474455639,0,7,-7,7,-7
0,58,2.955145881,0.1773740078,0,7,-7,7,-7
0,59,2.810058852,-0.2246415489,0,7,-7,7,-7
0,60,2.300156366,2.048357482,0,7,-7,7,-7
0,61,1.378871304,2.16907702,0,7,-7,7,-7
0,62,2.392367502,1.278253321,0,7,-7,7,-7
0,63,2.705901174,2.141665047,0,7,-7,7,-7
0,64,2.815288833,2.47964459,0,7,-7,7,-7
0,65,1.441011894,1.828663035,0,7,-7,7,-7
0,66,2.129405159,1.196649273,0,7,-7,7,-7
0,67,2.567888529,2.447445564,0,7,-7,7,-7
0,68,2.955145881,2.177374008,0,7,-7,7,-7
0,69,2.810058852,1.775358451,0,7,-7,7,-7
0,70,2.300156366,4.048357482,0,7,-7,7,-7
0,71,1.378871304,4.16907702,0,7,-7,7,-7
0,72,2.392367502,3.278253321,0,7,-7,7,-7
0,73,2.705901174,4.141665047,0,7,-7,7,-7
0,74,2.815288833,4.47964459,0,7,-7,7,-7
0,75,1.441011894,3.828663035,0,7,-7,7,-7
0,76,2.129405159,3.196649273,0,7,-7,7,-7
0,77,2.567888529,4.447445564,0,7,-7,7,-7
0,78,2.955145881,4.177374008,0,7,-7,7,-7
0,79,2.810058852,3.775358451,0,7,-7,7,-7
0,80,4.300156366,-3.951642518,0,7,-7,7,-7
0,81,3.378871304,-3.83092298,0,7,-7,7,-7
0,82,4.392367502,-4.721746679,0,7,-7,7,-7
0,83,4.705901174,-3.858334953,0,7,-7,7,-7
0,84,4.815288833,-3.52035541,0,7,-7,7,-7
0,85,3.441011894,-4.171336965,0,7,-7,7,-7
0,86,4.129405159,-4.803350727,0,7,-7,7,-7
0,87,4.567888529,-3.552554436,0,7,-7,7,-7
0,88,4.955145881,-3.822625992,0,7,-7,7,-7
0,89,4.810058852,-4.224641549,0,7,-7,7,-7
0,90,4.300156366,-1.951642518,0,7,-7,7,-7
0,91,3.378871304,-1.83092298,0,7,-7,7,-7
0,92,4.392367502,-2.721746679,0,7,-7,7,-7
0,93,4.705901174,-1.858334953,0,7,-7,7,-7
0,94,4.815288833,-1.52035541,0,7,-7,7,-7
0,95,3.441011894,-2.171336965,0,7,-7,7,-7
0,96,4.129405159,-2.803350727,0,7,-7,7,-7
0,97,4.567888529,-1.552554436,0,7,-7,7,-7
0,98,4.955145881,-1.822625992,0,7,-7,7,-7
0,99,4.810058852,-2.224641549,0,7,-7,7,-7
0,100,4.300156366,0.04835748212,0,7,-7,7,-7
0,101,3.378871304,0.1690770197,0,7,-7,7,-7
0,102,4.392367502,-0.7217466785,0,7,-7,7,-7
0,103,4.705901174,0.1416650467,0,7,-7,7,-7
0,104,4.815288833,0.4796445898,0,7,-7,7,-7
0,105,3.441011894,-0.1713369652,0,7,-7,7,-7
0,106,4.129405159,-0.8033507267,0,7,-7,7,-7
0,107,4.567888529,0.4474455639,0,7,-7,7,-7
0,108,4.955145881,0.1773740078,0,7,-7,7,-7
0,109,4.810058852,-0.2246415489,0,7,-7,7,-7
0,110,4.300156366,2.048357482,0,7,-7,7,-7
0,111,3.378871304,2.16907702,0,7,-7,7,-7
0,112,4.392367502,1.278253321,0,7,-7,7,-7
0,113,4.705901174,2.141665047,0,7,-7,7,-7
0,114,4.815288833,2.47964459,0,7,-7,7,-7
0,115,3.441011894,1.828663035,0,7,-7,7,-7
0,116,4.129405159,1.196649273,0,7,-7,7,-7
0,117,4.567888529,2.447445564,0,7,-7,7,-7
0,118,4.955145881,2.177374008,0,7,-7,7,-7
0,119,4.810058852,1.775358451,0,7,-7,7,-7
0,120,4.300156366,4.048357482,0,7,-7,7,-7
0,121,3.378871304,4.16907702,0,7,-7,7,-7
0,122,4.392367502,3.278253321,0,7,-7,7,-7
0,123,4.705901174,4.141665047,0,7,-7,7,-7
0,124,4.815288833,4.47964459,0,7,-7,7,-7
0,125,3.441011894,3.828663035,0,7,-7,7,-7
0,126,4.129405159,3.196649273,0,7,-7,7,-7
0,127,4.567888529,4.447445564,0,7,-7,7,-7
0,128,4.955145881,4.177374008,0,7,-7,7,-7
0,129,4.810058852,3.775358451,0,7,-7,7,-7
0,130,0.3001563657,-1.951642518,0,7,-7,7,-7
0,131,-0.6211286955,-1.83092298,0,7,-7,7,-7
0,132,0.3923675015,-2.721746679,0,7,-7,7,-7
0,133,0.7059011745,-1.858334953,0,7,-7,7,-7
0,134,0.8152888325,-1.52035541,0,7,-7,7,-7
0,135,-0.5589881059,-2.171336965,0,7,-7,7,-7
0,136,0.1294051591,-2.803350727,0,7,-7,7,-7
0,137,0.5678885287,-1.552554436,0,7,-7,7,-7
0,138,0.9551458813,-1.822625992,0,7,-7,7,-7
0,139,0.8100588523,-2.224641549,0,7,-7,7,-7
0,140,0.3001563657,-3.951642518,0,7,-7,7,-7
0,141,-0.6211286955,-3.83092298,0,7,-7,7,-7
0,142,0.3923675015,-4.721746679,0,7,-7,7,-7
0,143,0.7059011745,-3.858334953,0,7,-7,7,-7
0,144,0.8152888325,-3.52035541,0,7,-7,7,-7
0,145,-0.5589881059,-4.171336965,0,7,-7,7,-7
0,146,0.1294051591,-4.803350727,0,7,-7,7,-7
0,147,0.5678885287,-3.552554436,0,7,-7,7,-7
0,148,0.9551458813,-3.822625992,0,7,-7,7,-7
0,149,0.8100588523,-4.224641549,0,7,-7,7,-7
0,150,-1.699843634,4.048357482,0,7,-7,7,-7
0,151,-2.621128696,4.16907702,0,7,-7,7,-7
0,152,-1.607632498,3.278253321,0,7,-7,7,-7
0,153,-1.294098826,4.141665047,0,7,-7,7,-7
0,154,-1.184711167,4.47964459,0,7,-7,7,-7
0,155,-2.558988106,3.828663035,0,7,-7,7,-7
0,156,-1.870594841,3.196649273,0,7,-7,7,-7
0,157,-1.432111471,4.447445564,0,7,-7,7,-7
0,158,-1.044854119,4.177374008,0,7,-7,7,-7
0,159,-1.189941148,3.775358451,0,7,-7,7,-7
0,160,-1.699843634,2.048357482,0,7,-7,7,-7
0,161,-2.621128696,2.16907702,0,7,-7,7,-7
0,162,-1.607632498,1.278253321,0,7,-7,7,-7
0,163,-1.294098826,2.141665047,0,7,-7,7,-7
0,164,-1.184711167,2.47964459,0,7,-7,7,-7
0,165,-2.558988106,1.828663035,0,7,-7,7,-7
0,166,-1.870594841,1.196649273,0,7,-7,7,-7
0,167,-1.432111471,2.447445564,0,7,-7,7,-7
0,168,-1.044854119,2.177374008,0,7,-7,7,-7
