step,site_index,x,y,is_removed,x_max,x_min,y_max,y_min
0,0,0.4738154613,0.3178042425,0,7,-7,7,-7
0,1,-0.5643295286,0.5780824573,0,7,-7,7,-7
0,2,0.08259310806,0.6998081751,0,7,-7,7,-7
0,3,0.9340652125,0.05377861118,0,7,-7,7,-7
0,4,-0.0685407915,-0.8183332169,0,7,-7,7,-7
0,5,0.6443074202,-0.9250372734,0,7,-7,7,-7
0,6,-0.8345139239,-0.7510824448,0,7,-7,7,-7
0,7,0.410765393,0.6512795054,0,7,-7,7,-7
0,8,-0.392638082,0.4760283948,0,7,-7,7,-7
0,9,0.688068572,0.03649299125,0,7,-7,7,-7
0,10,0.4738154613,2.317804242,0,7,-7,7,-7
0,11,-0.5643295286,2.578082457,0,7,-7,7,-7
0,12,0.08259310806,2.699808175,0,7,-7,7,-7
0,13,0.9340652125,2.053778611,0,7,-7,7,-7
0,14,-0.0685407915,1.181666783,0,7,-7,7,-7
0,15,0.6443074202,1.074962727,0,7,-7,7,-7
0,16,-0.8345139239,1.248917555,0,7,-7,7,-7
0,17,0.410765393,2.651279505,0,7,-7,7,-7
0,18,-0.392638082,2.476028395,0,7,-7,7,-7
0,19,0.688068572,2.036492991,0,7,-7,7,-7
0,20,0.4738154613,4.317804242,0,7,-7,7,-7
0,21,-0.5643295286,4.578082457,0,7,-7,7,-7
0,22,0.08259310806,4.699808175,0,7,-7,7,-7
0,23,0.9340652125,4.053778611,0,7,-7,7,-7
0,24,-0.0685407915,3.181666783,0,7,-7,7,-7
0,25,0.6443074202,3.074962727,0,7,-7,7,-7
0,26,-0.8345139239,3.248917555,0,7,-7,7,-7
0,27,0.410765393,4.651279505,0,7,-7,7,-7
0,28,-0.392638082,4.476028395,0,7,-7,7,-7
0,29,0.688068572,4.036492991,0,7,-7,7,-7
0,30,2.473815461,-3.682195758,0,7,-7,7,-7
0,31,1.435670471,-3.421917543,0,7,-7,7,-7
0,32,2.082593108,-3.300191825,0,7,-7,7,-7
0,33,2.934065212,-3.946221389,0,7,-7,7,-7
0,34,1.931459208,-4.818333217,0,7,-7,7,-7
0,35,2.64430742,-4.925037273,0,7,-7,7,-7
0,36,1.165486076,-4.751082445,0,7,-7,7,-7
