step,site_index,x,y,is_removed,x_max,x_min,y_max,y_min
0,0,-0.02277071176,0.1022632884,0,7,-7,7,-7
0,1,0.595081708,0.7852198639,0,7,-7,7,-7
0,2,-0.8758455831,0.9494757998,0,7,-7,7,-7
0,3,0.5961890936,-0.2448868798,0,7,-7,7,-7
0,4,-0.7385563062,-0.7368518456,0,7,-7,7,-7
0,5,0.2122665134,0.7896231234,0,7,-7,7,-7
0,6,-0.7540328135,-0.6440950371,0,7,-7,7,-7
0,7,-0.09160711325,-0.7680011739,0,7,-7,7,-7
0,8,-0.4948883327,-0.6659275664,0,7,-7,7,-7
0,9,0.2872001026,-0.2503127272,0,7,-7,7,-7
0,10,-0.02277071176,2.102263288,0,7,-7,7,-7
0,11,0.595081708,2.785219864,0,7,-7,7,-7
0,12,-0.8758455831,2.9494758,0,7,-7,7,-7
0,13,0.5961890936,1.75511312,0,7,-7,7,-7
0,14,-0.7385563062,1.263148154,0,7,-7,7,-7
0,15,0.2122665134,2.789623123,0,7,-7,7,-7
0,16,-0.7540328135,1.355904963,0,7,-7,7,-7
0,17,-0.09160711325,1.231998826,0,7,-7,7,-7
0,18,-0.4948883327,1.334072434,0,7,-7,7,-7
0,19,0.2872001026,1.749687273,0,7,-7,7,-7
0,20,-0.02277071176,4.102263288,0,7,-7,7,-7
0,21,0.595081708,4.785219864,0,7,-7,7,-7
0,22,-0.8758455831,4.9494758,0,7,-7,7,-7
0,23,0.5961890936,3.75511312,0,7,-7,7,-7
0,24,-0.7385563062,3.263148154,0,7,-7,7,-7
0,25,0.2122665134,4.789623123,0,7,-7,7,-7
0,26,-0.7540328135,3.355904963,0,7,-7,7,-7
0,27,-0.09160711325,3.231998826,0,7,-7,7,-7
0,28,-0.4948883327,3.334072434,0,7,-7,7,-7
0,29,0.2872001026,3.749687273,0,7,-7,7,-7
0,30,1.977229288,-3.897736712,0,7,-7,7,-7
0,31,2.595081708,-3.214780136,0,7,-7,7,-7
0,32,1.124154417,-3.0505242,0,7,-7,7,-7
0,33,2.596189094,-4.24488688,0,7,-7,7,-7
0,34,1.261443694,-4.736851846,0,7,-7,7,-7
0,35,2.212266513,-3.210376877,0,7,-7,7,-7
0,36,1.245967187,-4.644095037,0,7,-7,7,-7
0,37,1.908392887,-4.768001174,0,7,-7,7,-7
0,38,1.505111667,-4.665927566,0,7,-7,7,-7
0,39,2.287200103,-4.250312727,0,7,-7,7,-7
0,40,1.977229288,-1.897736712,0,7,-7,7,-7
0,41,2.595081708,-1.214780136,0,7,-7,7,-7
0,42,1.124154417,-1.0505242,0,7,-7,7,-7
0,43,2.596189094,-2.24488688,0,7,-7,7,-7
0,44,1.261443694,-2.736851846,0,7,-7,7,-7
0,45,2.212266513,-1.210376877,0,7,-7,7,-7
0,46,1.245967187,-2.644095037,0,7,-7,7,-7
0,47,1.908392887,-2.768001174,0,7,-7,7,-7
0,48,1.505111667,-2.665927566,0,7,-7,7,-7
0,49,2.287200103,-2.250312727,0,7,-7,7,-7
0,50,1.977229288,0.1022632884,0,7,-7,7,-7
0,51,2.595081708,0.7852198639,0,7,-7,7,-7
0,52,1.124154417,0.9494757998,0,7,-7,7,-7
0,53,2.596189094,-0.2448868798,0,7,-7,7,-7
0,54,1.261443694,-0.7368518456,0,7,-7,7,-7
0,55,2.212266513,0.7896231234,0,7,-7,7,-7
0,56,1.245967187,-0.6440950371,0,7,-7,7,-7
0,57,1.908392887,-0.7680011739,0,7,-7,7,-7
0,58,1.505111667,-0.6659275664,0,7,-7,7,-7
0,59,2.287200103,-0.2503127272,0,7,-7,7,-7
0,60,1.977229288,2.102263288,0,7,-7,7,-7
0,61,2.595081708,2.785219864,0,7,-7,7,-7
0,62,1.124154417,2.9494758,0,7,-7,7,-7
0,63,2.596189094,1.75511312,0,7,-7,7,-7
0,64,1.261443694,1.263148154,0,7,-7,7,-7
0,65,2.212266513,2.789623123,0,7,-7,7,-7
0,66,1.245967187,1.355904963,0,7,-7,7,-7
0,67,1.908392887,1.231998826,0,7,-7,7,-7
0,68,1.505111667,1.334072434,0,7,-7,7,-7
0,69,2.287200103,1.749687273,0,7,-7,7,-7
0,70,1.977229288,4.102263288,0,7,-7,7,-7
0,71,2.595081708,4.785219864,0,7,-7,7,-7
0,72,1.124154417,4.9494758,0,7,-7,7,-7
0,73,2.596189094,3.75511312,0,7,-7,7,-7
0,74,1.261443694,3.263148154,0,7,-7,7,-7
0,75,2.212266513,4.789623123,0,7,-7,7,-7
0,76,1.245967187,3.355904963,0,7,-7,7,-7
0,77,1.908392887,3.231998826,0,7,-7,7,-7
0,78,1.505111667,3.334072434,0,7,-7,7,-7
0,79,2.287200103,3.749687273,0,7,-7,7,-7
0,80,3.977229288,-3.897736712,0,7,-7,7,-7
0,81,4.595081708,-3.214780136,0,7,-7,7,-7
0,82,3.124154417,-3.0505242,0,7,-7,7,-7
0,83,4.596189094,-4.24488688,0,7,-7,7,-7
0,84,3.261443694,-4.736851846,0,7,-7,7,-7
0,85,4.212266513,-3.210376877,0,7,-7,7,-7
0,86,3.245967187,-4.644095037,0,7,-7,7,-7
0,87,3.908392887,-4.768001174,0,7,-7,7,-7
0,88,3.505111667,-4.665927566,0,7,-7,7,-7
0,89,4.287200103,-4.250312727,0,7,-7,7,-7
0,90,3.977229288,-1.897736712,0,7,-7,7,-7
0,91,4.595081708,-1.214780136,0,7,-7,7,-7
0,92,3.124154417,-1.0505242,0,7,-7,7,-7
0,93,4.596189094,-2.24488688,0,7,-7,7,-7
0,94,3.261443694,-2.736851846,0,7,-7,7,-7
0,95,4.212266513,-1.210376877,0,7,-7,7,-7
0,96,3.245967187,-2.644095037,0,7,-7,7,-7
0,97,3.908392887,-2.768001174,0,7,-7,7,-7
0,98,3.505111667,-2.665927566,0,7,-7,7,-7
0,99,4.287200103,-2.250312727,0,7,-7,7,-7
0,100,3.977229288,0.1022632884,0,7,-7,7,-7
0,101,4.595081708,0.7852198639,0,7,-7,7,-7
0,102,3.124154417,0.9494757998,0,7,-7,7,-7
0,103,4.596189094,-0.2448868798,0,7,-7,7,-7
0,104,3.261443694,-0.7368518456,0,7,-7,7,-7
0,105,4.212266513,0.7896231234,0,7,-7,7,-7
0,106,3.245967187,-0.6440950371,0,7,-7,7,-7
0,107,3.908392887,-0.7680011739,0,7,-7,7,-7
0,108,3.505111667,-0.6659275664,0,7,-7,7,-7
0,109,4.287200103,-0.2503127272,0,7,-7,7,-7
0,110,3.977229288,2.102263288,0,7,-7,7,-7
0,111,4.595081708,2.785219864,0,7,-7,7,-7
0,112,3.124154417,2.9494758,0,7,-7,7,-7
0,113,4.596189094,1.75511312,0,7,-7,7,-7
0,114,3.261443694,1.263148154,0,7,-7,7,-7
0,115,4.212266513,2.789623123,0,7,-7,7,-7
0,116,3.245967187,1.355904963,0,7,-7,7,-7
0,117,3.908392887,1.231998826,0,7,-7,7,-7
0,118,3.505111667,1.334072434,0,7,-7,7,-7
0,119,4.287200103,1.749687273,0,7,-7,7,-7
0,120,3.977229288,4.102263288,0,7,-7,7,-7
0,121,4.595081708,4.785219864,0,7,-7,7,-7
0,122,3.124154417,4.9494758,0,7,-7,7,-7
0,123,4.596189094,3.75511312,0,7,-7,7,-7
0,124,3.261443694,3.263148154,0,7,-7,7,-7
0,125,4.212266513,4.789623123,0,7,-7,7,-7
0,126,3.245967187,3.355904963,0,7,-7,7,-7
0,127,3.908392887,3.231998826,0,7,-7,7,-7
0,128,3.505111667,3.334072434,0,7,-7,7,-7
0,129,4.287200103,3.749687273,0,7,-7,7,-7
0,130,-0.02277071176,-1.897736712,0,7,-7,7,-7
0,131,0.595081708,-1.214780136,0,7,-7,7,-7
0,132,-0.8758455831,-1.0505242,0,7,-7,7,-7
0,133,0.5961890936,-2.24488688,0,7,-7,7,-7
0,134,-0.7385563062,-2.736851846,0,7,-7,7,-7
0,135,0.2122665134,-1.210376877,0,7,-7,7,-7
0,136,-0.7540328135,-2.644095037,0,7,-7,7,-7
0,137,-0.09160711325,-2.768001174,0,7,-7,7,-7
0,138,-0.4948883327,-2.665927566,0,7,-7,7,-7
0,139,0.2872001026,-2.250312727,0,7,-7,7,-7
0,140,-0.02277071176,-3.897736712,0,7,-7,7,-7
0,141,0.595081708,-3.214780136,0,7,-7,7,-7
0,142,-0.8758455831,-3.0505242,0,7,-7,7,-7
0,143,0.5961890936,-4.24488688,0,7,-7,7,-7
0,144,-0.7385563062,-4.736851846,0,7,-7,7,-7
0,145,0.2122665134,-3.210376877,0,7,-7,7,-7
0,146,-0.7540328135,-4.644095037,0,7,-7,7,-7
0,147,-0.09160711325,-4.768001174,0,7,-7,7,-7
0,148,-0.4948883327,-4.665927566,0,7,-7,7,-7
0,149,0.2872001026,-4.250312727,0,7,-7,7,-7
0,150,-2.022770712,4.102263288,0,7,-7,7,-7
0,151,-1.404918292,4.785219864,0,7,-7,7,-7
0,152,-2.875845583,4.9494758,0,7,-7,7,-7
0,153,-1.403810906,3.75511312,0,7,-7,7,-7
0,154,-2.738556306,3.263148154,0,7,-7,7,-7
0,155,-1.787733487,4.789623123,0,7,-7,7,-7
0,156,-2.754032813,3.355904963,0,7,-7,7,-7
0,157,-2.091607113,3.231998826,0,7,-7,7,-7
0,158,-2.494888333,3.334072434,0,7,-7,7,-7
0,159,-1.712799897,3.749687273,0,7,-7,7,-7
0,160,-2.022770712,2.102263288,0,7,-7,7,-7
0,161,-1.404918292,2.785219864,0,7,-7,7,-7
0,162,-2.875845583,2.9494758,0,7,-7,7,-7
0,163,-1.403810906,1.75511312,0,7,-7,7,-7
0,164,-2.738556306,1.263148154,0,7,-7,7,-7
0,165,-1.787733487,2.789623123,0,7,-7,7,-7
0,166,-2.754032813,1.355904963,0,7,-7,7,-7
0,167,-2.091607113,1.231998826,0,7,-7,7,-7
0,168,-2.494888333,1.334072434,0,7,-7,7,-7
0,169,-1.712799897,1.749687273,0,7,-7,7,-7
0,170,-2.022770712,0.1022632884,0,7,-7,7,-7
0,171,-1.404918292,0.7852198639,0,7,-7,7,-7
0,172,-2.875845583,0.9494757998,0,7,-7,7,-7
0,173,-1.403810906,-0.2448868798,0,7,-7,7,-7
0,174,-2.738556306,-0.7368518456,0,7,-7,7,-7
0,175,-1.787733487,0.7896231234,0,7,-7,7,-7
0,176,-2.754032813,-0.6440950371,0,7,-7,7,-7
0,177,-2.091607113,-0.7680011739,0,7,-7,7,-7
0,178,-2.494888333,-0.6659275664,0,7,-7,7,-7
0,179,-1.712799897,-0.2503127272,0,7,-7,7,-7
0,180,-2.022770712,-1.897736712,0,7,-7,7,-7
0,181,-1.404918292,-1.214780136,0,7,-7,7,-7
0,182,-2.875845583,-1.0505242,0,7,-7,7,-7
0,183,-1.403810906,-2.24488688,0,7,-7,7,-7
0,184,-2.738556306,-2.736851846,0,7,-7,7,-7
0,185,-1.787733487,-1.210376877,0,7,-7,7,-7
0,186,-2.754032813,-2.644095037,0,7,-7,7,-7
0,187,-2.091607113,-2.768001174,0,7,-7,7,-7
0,188,-2.494888333,-2.665927566,0,7,-7,7,-7
0,189,-1.712799897,-2.250312727,0,7,-7,7,-7
0,190,-2.022770712,-3.897736712,0,7,-7,7,-7
0,191,-1.404918292,-3.214780136,0,7,-7,7,-7
0,192,-2.875845583,-3.0505242,0,7,-7,7,-7
0,193,-1.403810906,-4.24488688,0,7,-7,7,-7
0,194,-2.738556306,-4.736851846,0,7,-7,7,-7
0,195,-1.787733487,-3.210376877,0,7,-7,7,-7
0,196,-2.754032813,-4.644095037,0,7,-7,7,-7
0,197,-2.091607113,-4.768001174,0,7,-7,7,-7
0,198,-2.494888333,-4.665927566,0,7,-7,7,-7
0,199,-1.712799897,-4.250312727,0,7,-7,7,-7
0,200,-4.022770712,4.102263288,0,7,-7,7,-7
0,201,-3.404918292,4.785219864,0,7,-7,7,-7
0,202,-4.875845583,4.9494758,0,7,-7,7,-7
0,203,-3.403810906,3.75511312,0,7,-7,7,-7
0,204,-4.738556306,3.263148154,0,7,-7,7,-7
0,205,-3.787733487,4.789623123,0,7,-7,7,-7
0,206,-4.754032813,3.355904963,0,7,-7,7,-7
0,207,-4.091607113,3.231998826,0,7,-7,7,-7
0,208,-4.494888333,3.334072434,0,7,-7,7,-7
0,209,-3.712799897,3.749687273,0,7,-7,7,-7
0,210,-4.022770712,2.102263288,0,7,-7,7,-7
0,211,-3.404918292,2.785219864,0,7,-7,7,-7
0,212,-4.875845583,2.9494758,0,7,-7,7,-7
0,213,-3.403810906,1.75511312,0,7,-7,7,-7
0,214,-4.738556306,1.263148154,0,7,-7,7,-7
0,215,-3.787733487,2.789623123,0,7,-7,7,-7
0,216,-4.754032813,1.355904963,0,7,-7,7,-7
0,217,-4.091607113,1.231998826,0,7,-7,7,-7
0,218,-4.494888333,1.334072434,0,7,-7,7,-7
0,219,-3.712799897,1.749687273,0,7,-7,7,-7
0,220,-4.022770712,0.1022632884,0,7,-7,7,-7
0,221,-3.404918292,0.7852198639,0,7,-7,7,-7
0,222,-4.875845583,0.9494757998,0,7,-7,7,-7
0,223,-3.403810906,-0.2448868798,0,7,-7,7,-7
0,224,-4.738556306,-0.7368518456,0,7,-7,7,-7
0,225,-3.787733487,0.7896231234,0,7,-7,7,-7
0,226,-4.754032813,-0.6440950371,0,7,-7,7,-7
0,227,-4.091607113,-0.7680011739,0,7,-7,7,-7
0,228,-4.494888333,-0.6659275664,0,7,-7,7,-7
0,229,-3.712799897,-0.2503127272,0,7,-7,7,-7
0,230,-4.022770712,-1.897736712,0,7,-7,7,-7
0,231,-3.404918292,-1.214780136,0,7,-7,7,-7
0,232,-4.875845583,-1.0505242,0,7,-7,7,-7
0,233,-3.403810906,-2.24488688,0,7,-7,7,-7
0,234,-4.738556306,-2.736851846,0,7,-7,7,-7
0,235,-3.787733487,-1.210376877,0,7,-7,7,-7
0,236,-4.754032813,-2.644095037,0,7,-7,7,-7
0,237,-4.091607113,-2.768001174,0,7,-7,7,-7
0,238,-4.494888333,-2.665927566,0,7,-7,7,-7
0,239,-3.712799897,-2.250312727,0,7,-7,7,-7
0,240,-4.022770712,-3.897736712,0,7,-7,7,-7
0,241,-3.404918292,-3.214780136,0,7,-7,7,-7
0,242,-4.875845583,-3.0505242,0,7,-7,7,-7
0,243,-3.403810906,-4.24488688,0,7,-7,7,-7
0,244,-4.738556306,-4.736851846,0,7,-7,7,-7
0,245,-3.787733487,-3.210376877,0,7,-7,7,-7
0,246,-4.754032813,-4.644095037,0,7,-7,7,-7
0,247,-4.091607113,-4.768001174,0,7,-7,7,-7
0,248,-4.494888333,-4.665927566,0,7,-7,7,-7
0,249,-3.712799897,-4.250312727,0,7,-7,7,-7
1,0,-0.0226989138,0.1023545841,0,7,-7,7,-7
1,1,0.595247843,0.7851525158,0,7,-7,7,-7
1,2,-0.8759380011,0.9490673448,0,7,-7,7,-7
1,3,0.5961656227,-0.2448137727,0,7,-7,7,-7
1,4,-0.7390941258,-0.7371689142,0,7,-7,7,-7
1,5,0.212224487,0.7894066934,0,7,-7,7,-7
1,6,-0.753846779,-0.6435743471,0,7,-7,7,-7
1,7,-0.09157567671,-0.7680948056,0,7,-7,7,-7
1,8,-0.4947162046,-0.6656534595,0,7,-7,7,-7
1,9,0.2872683055,-0.2501689935,0,7,-7,7,-7
1,10,-0.0226989138,2.102354584,0,7,-7,7,-7
1,11,0.595247843,2.785152516,0,7,-7,7,-7
1,12,-0.8759380011,2.949067345,0,7,-7,7,-7
1,13,0.5961656227,1.755186227,0,7,-7,7,-7
1,14,-0.7390941258,1.262831086,0,7,-7,7,-7
1,15,0.212224487,2.789406693,0,7,-7,7,-7
1,16,-0.753846779,1.356425653,0,7,-7,7,-7
1,17,-0.09157567671,1.231905194,0,7,-7,7,-7
1,18,-0.4947162046,1.334346541,0,7,-7,7,-7
1,19,0.2872683055,1.749831006,0,7,-7,7,-7
1,20,-0.0226989138,4.102354584,0,7,-7,7,-7
1,21,0.595247843,4.785152516,0,7,-7,7,-7
1,22,-0.8759380011,4.949067345,0,7,-7,7,-7
1,23,0.5961656227,3.755186227,0,7,-7,7,-7
1,24,-0.7390941258,3.262831086,0,7,-7,7,-7
1,25,0.212224487,4.789406693,0,7,-7,7,-7
1,26,-0.753846779,3.356425653,0,7,-7,7,-7
1,27,-0.09157567671,3.231905194,0,7,-7,7,-7
1,28,-0.4947162046,3.334346541,0,7,-7,7,-7
1,29,0.2872683055,3.749831006,0,7,-7,7,-7
1,30,1.977301086,-3.897645416,0,7,-7,7,-7
1,31,2.595247843,-3.214847484,0,7,-7,7,-7
1,32,1.124061999,-3.050932655,0,7,-7,7,-7
1,33,2.596165623,-4.244813773,0,7,-7,7,-7
