epoch,global_loss,test_loss
0,437.62564266774666,226.55427807657497
1,166.1044343440405,145.99366115171406
2,154.14154408713506,160.66262602815354
3,141.83715702381446,141.7522945491121
4,135.72973130595898,109.33513901857971
5,129.94675098284327,115.68827284040059
6,128.1279345377527,162.42271894105386
7,122.24823351275022,125.23567690086068
8,121.84929109712674,114.21935557096432
9,116.20948652333776,173.07172905685556
10,114.10476070063561,109.60219452838705
11,106.82277973567041,91.92547399699457
12,106.71206818047474,97.05258548324574
13,100.59212599072978,123.60164466122832
14,97.23010794303171,84.71755164644009
15,95.29982299515696,87.51138918434083
16,91.89459568609446,100.49792613470008
17,88.5725700332846,92.03651181393663
18,88.44214980715267,84.769492300194
19,84.5457644252325,96.78424810436964
20,86.3877563907272,82.75352404524212
21,84.23792638455423,76.98605497770747
22,82.281343248248,71.5532204456448
23,82.18525141259914,97.66204159363537
24,79.15585169300333,83.36952025666196
25,71.8895731811479,68.76039373291123
26,71.21231791458115,71.94768144825956
27,69.26118541657694,66.28739554523588
28,66.86290690388527,77.84653938131547
29,68.20757083135143,64.07776896881334
30,66.38672295974592,64.7354452077418
31,65.33274943076462,67.95030714679153
32,64.67351360967572,74.96866389574149
33,63.60482645173729,66.6721596571949
34,60.0741724324671,66.37130542985209
35,61.03715492304481,61.44304826871869
36,58.48944462035734,70.77388283719179
37,57.723496729167934,64.40306400071769
38,56.52165101768439,91.3934902728947
39,56.42044950957991,68.24057219680557
40,54.58981755368915,63.34428329484446
41,54.51947219837703,61.219113110569715
42,52.18578901162144,57.896254001797494
43,52.10658769905799,54.19250508793213
44,51.05783069323641,58.17937448414704
45,49.62415067526196,56.16787031980661
46,48.94985371054655,61.010103548138105
47,47.54494188620587,55.68729065297274
48,47.28205074273808,70.53499346763104
49,46.37128064863054,60.071923904022505
50,42.00250269469126,71.9978258509736
51,40.92239896048847,59.65817580386568
52,40.06451255033298,50.9653607604109
53,39.674163526866266,56.49045023838494
54,38.83219704932729,62.35140043798119
55,37.932956947359635,53.447361878257624
56,37.35526437275893,49.36382293258884
57,36.579061877106916,55.11481076103824
58,35.72816722864964,49.87188728154863
59,35.6829959559135,53.0980492160361
60,34.51434253659838,51.18300304523066
61,33.128338856968476,47.45084969209624
62,32.867213694319396,48.543162294108456
63,31.508060429965976,51.078857928491324
64,31.80552246932754,52.69720737968384
65,31.194389545973085,47.9411628378299
66,30.33336634321461,47.60276286515878
67,29.121505896991412,49.168645773965814
68,28.904528820083968,46.39861935164082
69,28.68349991823317,49.72094474685405
70,28.04048002537314,48.00657483127197
71,27.293868473753413,45.273692436522076
72,26.702197413587626,49.04856042852213
73,25.830267052944077,46.638850445282394
74,25.599753765121577,48.68617192441026
75,22.678483974012,43.16557634975573
76,21.744897606535854,43.283992407297845
77,22.217313327491514,40.95901120642219
78,20.98338132920706,44.364825099938216
79,20.545514260347073,41.861520466386764
80,19.840077552877847,42.339634248033086
81,19.404453965935858,42.039931204537595
82,19.504513948947398,44.38389655125632
83,18.960958423453334,42.75504129175632
84,18.444388473378936,40.964324249856304
85,18.2932085761194,40.72135868248267
86,17.846193459646223,41.33321236596148
87,17.3579466268015,41.62997223808493
88,17.52039503320623,45.82265709311627
89,16.705104039416074,41.184395642373666
90,16.608809794602507,38.83798105999677
91,16.150527368278677,39.11387435396049
92,15.536548385531196,39.469630716506046
93,15.62386419366475,38.38260580762561
94,15.570810577553562,40.34937798523032
95,15.263231360388987,40.43529611105778
96,14.771330628871176,38.6717368918699
97,14.817295047115149,42.49411993790432
98,14.141598405943142,43.01174193819827
99,13.909079323420714,38.64217190170066
100,12.505175259876085,37.50845384969439
101,11.877780468186483,36.453775313223346
102,12.040319719966197,36.32219133892537
103,11.54530777669893,36.6563542310985
104,11.404934393706577,39.92613563754342
105,11.4301682706711,37.39672345862012
106,11.09956467273213,37.754939253478895
107,10.767497273765521,37.37528112321143
108,10.820956100510736,38.224422708466335
109,10.34582841492431,36.354390190047354
110,10.359819709756806,37.06985828180876
111,10.128023864147083,35.91463877222477
112,10.059014377048891,36.998325493959555
