step,site_index,x,y
5,0,0.47323534,0.31628937
5,1,-0.56436175,0.57910174
5,2,0.08063881,0.7008152
5,3,0.9350955,0.052801177
5,4,-0.06936971,-0.81858593
5,5,0.64429545,-0.9226086
5,6,-0.83327436,-0.7506465
5,7,0.41292146,0.6517482
5,8,-0.3933051,0.47498614
5,9,0.6877958,0.034889556
5,10,0.47323534,2.3162894
5,11,-0.56436175,2.5791016
5,12,0.08063881,2.7008154
5,13,0.9350955,2.0528011
5,14,-0.06936971,1.1814142
5,15,0.64429545,1.0773914
5,16,-0.83327436,1.2493534
5,17,0.41292146,2.6517482
5,18,-0.3933051,2.4749863
5,19,0.6877958,2.0348895
5,20,0.47323534,4.3162894
5,21,-0.56436175,4.579102
5,22,0.08063881,4.7008147
5,23,0.9350955,4.0528016
5,24,-0.06936971,3.181414
5,25,0.64429545,3.0773911
5,26,-0.83327436,3.2493534
5,27,0.41292146,4.651748
5,28,-0.3933051,4.4749866
5,29,0.6877958,4.0348897
5,30,2.4732354,-3.6837106
5,31,1.4356382,-3.4208984
5,32,2.0806384,-3.2991846
5,33,2.9350958,-3.9471989
5,34,1.9306302,-4.8185863
5,35,2.6442952,-4.9226084
5,36,1.1667255,-4.750646
5,37,2.4129214,-3.3482518
5,38,1.6066949,-3.5250137
5,39,2.6877959,-3.9651105
5,40,2.4732354,-1.6837107
5,41,1.4356382,-1.4208981
5,42,2.0806384,-1.299185
5,43,2.9350958,-1.9471989
5,44,1.9306302,-2.818586
5,45,2.6442952,-2.9226089
5,46,1.1667255,-2.7506466
5,47,2.4129214,-1.3482516
5,48,1.6066949,-1.5250139
5,49,2.6877959,-1.9651104
5,50,2.4732354,0.31628937
5,51,1.4356382,0.57910174
5,52,2.0806384,0.7008152
5,53,2.9350958,0.052801177
5,54,1.9306302,-0.81858593
5,55,2.6442952,-0.9226086
5,56,1.1667255,-0.7506465
5,57,2.4129214,0.6517482
5,58,1.6066949,0.47498614
5,59,2.6877959,0.034889556
5,60,2.4732354,2.3162894
5,61,1.4356382,2.5791016
5,62,2.0806384,2.7008154
5,63,2.9350958,2.0528011
5,64,1.9306302,1.1814142
5,65,2.6442952,1.0773914
5,66,1.1667255,1.2493534
5,67,2.4129214,2.6517482
5,68,1.6066949,2.4749863
5,69,2.6877959,2.0348895
5,70,2.4732354,4.3162894
5,71,1.4356382,4.579102
5,72,2.0806384,4.7008147
5,73,2.9350958,4.0528016
5,74,1.9306302,3.181414
5,75,2.6442952,3.0773911
5,76,1.1667255,3.2493534
5,77,2.4129214,4.651748
5,78,1.6066949,4.4749866
5,79,2.6877959,4.0348897
5,80,4.4732356,-3.6837106
5,81,3.4356382,-3.4208984
5,82,4.080639,-3.2991846
5,83,4.935096,-3.9471989
5,84,3.9306302,-4.8185863
5,85,4.6442957,-4.9226084
5,86,3.1667256,-4.750646
5,87,4.4129214,-3.3482518
5,88,3.6066947,-3.5250137
5,89,4.687796,-3.9651105
5,90,4.4732356,-1.6837107
5,91,3.4356382,-1.4208981
5,92,4.080639,-1.299185
5,93,4.935096,-1.9471989
5,94,3.9306302,-2.818586
5,95,4.6442957,-2.9226089
5,96,3.1667256,-2.7506466
5,97,4.4129214,-1.3482516
5,98,3.6066947,-1.5250139
5,99,4.687796,-1.9651104
5,100,4.4732356,0.31628937
5,101,3.4356382,0.57910174
5,102,4.080639,0.7008152
5,103,4.935096,0.052801177
5,104,3.9306302,-0.81858593
5,105,4.6442957,-0.9226086
5,106,3.1667256,-0.7506465
5,107,4.4129214,0.6517482
5,108,3.6066947,0.47498614
5,109,4.687796,0.034889556
5,110,4.4732356,2.3162894
5,111,3.4356382,2.5791016
5,112,4.080639,2.7008154
5,113,4.935096,2.0528011
5,114,3.9306302,1.1814142
5,115,4.6442957,1.0773914
5,116,3.1667256,1.2493534
5,117,4.4129214,2.6517482
5,118,3.6066947,2.4749863
5,119,4.687796,2.0348895
5,120,4.4732356,4.3162894
5,121,3.4356382,4.579102
5,122,4.080639,4.7008147
5,123,4.935096,4.0528016
5,124,3.9306302,3.181414
5,125,4.6442957,3.0773911
5,126,3.1667256,3.2493534
5,127,4.4129214,4.651748
5,128,3.6066947,4.4749866
5,129,4.687796,4.0348897
5,130,0.47323534,-1.6837107
5,131,-0.56436175,-1.4208981
5,132,0.08063881,-1.299185
5,133,0.9350955,-1.9471989
5,134,-0.06936971,-2.818586
5,135,0.64429545,-2.9226089
5,136,-0.83327436,-2.7506466
5,137,0.41292146,-1.3482516
5,138,-0.3933051,-1.5250139
5,139,0.6877958,-1.9651104
5,140,0.47323534,-3.6837106
5,141,-0.56436175,-3.4208984
5,142,0.08063881,-3.2991846
5,143,0.9350955,-3.9471989
5,144,-0.06936971,-4.8185863
5,145,0.64429545,-4.9226084
5,146,-0.83327436,-4.750646
5,147,0.41292146,-3.3482518
5,148,-0.3933051,-3.5250137
5,149,0.6877958,-3.9651105
