step,site_index,x,y
5,0,0.680446,-0.21439119
5,1,0.5667191,0.5981694
5,2,0.82312727,-0.60374403
5,3,-0.3310431,0.53524816
5,4,-0.44614625,0.10122438
5,5,-0.04475313,0.25592175
5,6,-0.2685179,0.029288348
5,7,0.9064238,0.8352072
5,8,0.27133426,0.4378011
5,9,-0.7182832,0.21592025
5,10,0.680446,1.7856089
5,11,0.5667191,2.598169
5,12,0.82312727,1.396256
5,13,-0.3310431,2.5352483
5,14,-0.44614625,2.1012244
5,15,-0.04475313,2.2559216
5,16,-0.2685179,2.0292883
5,17,0.9064238,2.8352072
5,18,0.27133426,2.4378014
5,19,-0.7182832,2.2159202
5,20,0.680446,3.7856085
5,21,0.5667191,4.59817
5,22,0.82312727,3.3962562
5,23,-0.3310431,4.5352483
5,24,-0.44614625,4.1012244
5,25,-0.04475313,4.255922
5,26,-0.2685179,4.029289
5,27,0.9064238,4.8352075
5,28,0.27133426,4.4378014
5,29,-0.7182832,4.2159204
5,30,2.6804457,-4.2143908
5,31,2.5667193,-3.401831
5,32,2.8231273,-4.603744
5,33,1.668957,-3.4647517
5,34,1.5538538,-3.8987756
5,35,1.9552469,-3.7440784
5,36,1.731482,-3.9707117
5,37,2.906424,-3.1647928
5,38,2.2713342,-3.5621986
5,39,1.2817168,-3.7840798
5,40,2.6804457,-2.2143915
5,41,2.5667193,-1.4018307
5,42,2.8231273,-2.6037438
5,43,1.668957,-1.464752
5,44,1.5538538,-1.8987756
5,45,1.9552469,-1.7440782
5,46,1.731482,-1.9707116
5,47,2.906424,-1.1647927
5,48,2.2713342,-1.562199
5,49,1.2817168,-1.7840797
5,50,2.6804457,-0.21439119
5,51,2.5667193,0.5981694
5,52,2.8231273,-0.60374403
5,53,1.668957,0.53524816
5,54,1.5538538,0.10122438
5,55,1.9552469,0.25592175
5,56,1.731482,0.029288348
5,57,2.906424,0.8352072
5,58,2.2713342,0.4378011
5,59,1.2817168,0.21592025
5,60,2.6804457,1.7856089
5,61,2.5667193,2.598169
5,62,2.8231273,1.396256
5,63,1.668957,2.5352483
5,64,1.5538538,2.1012244
5,65,1.9552469,2.2559216
5,66,1.731482,2.0292883
5,67,2.906424,2.8352072
5,68,2.2713342,2.4378014
5,69,1.2817168,2.2159202
5,70,2.6804457,3.7856085
5,71,2.5667193,4.59817
5,72,2.8231273,3.3962562
5,73,1.668957,4.5352483
5,74,1.5538538,4.1012244
5,75,1.9552469,4.255922
5,76,1.731482,4.029289
5,77,2.906424,4.8352075
5,78,2.2713342,4.4378014
