epoch,global_loss,test_loss
0,67.13117908301423,29.682494741678237
1,38.97089011859505,44.82521568775177
2,36.696193911650425,18.350720986127854
3,32.910475892041575,16.519295600652693
4,31.768708482870966,16.240367481708528
5,29.63640856327201,13.764639660716057
6,28.138590991925433,11.459111741185188
7,26.15764727804118,11.65479536652565
8,24.58256596475029,14.988554041385651
9,23.348649271382502,11.30995189666748
10,22.719126114652152,14.06906788855791
11,21.461225659268813,14.731980845928192
12,21.106304990430164,10.594953628182411
13,20.285751658858675,29.682289243936538
14,19.52467645116573,22.787506220340727
15,18.89998312465841,13.65251519024372
16,17.889775582450994,29.978900995254516
17,18.44102752881404,13.624056735038756
18,17.186960171413173,13.878113673329354
19,17.605204933543675,12.298787425160407
20,16.684183362416963,10.680260290503503
21,15.943953692345723,10.986720822751522
22,15.674567255089473,11.78960680127144
23,15.198488891032099,10.148575539588927
24,14.833568622054939,13.248164020478725
25,13.57141480024357,13.172937148809433
26,13.360736614931158,14.15244307100773
27,12.65381317415507,10.807209766209125
28,12.872558565968076,10.641510522067547
29,12.438277056578203,16.1352032199502
30,11.661919624099642,12.65365055859089
31,11.5090106273303,11.079483389258385
32,11.212953520511807,11.306991340517998
33,11.388354046841926,12.074933752268553
34,10.65219032725069,10.668881819844247
35,10.44564867960962,12.63140105366707
36,10.544223006360273,13.265744618177415
37,9.867069084072817,9.674193822443485
38,9.650862702134514,10.44486500054598
39,9.47344157312184,11.265133499205113
40,9.235769233364604,10.907340334355832
41,8.919620709894652,10.843861048221589
42,8.67894771280637,13.792295050024986
43,8.532261240819256,11.892475253045559
44,8.535018188258013,10.831352081596851
45,8.153910163063454,11.338794154822827
46,7.673550208785919,12.202664600014687
47,7.5504543498337915,13.796276891231537
48,7.503299694320168,12.158000732064247
49,7.444097350990485,11.94586455464363
50,6.293167938852412,11.28841913729906
51,6.286199967816136,10.223699540495872
52,5.943122391152632,13.252695740163325
53,5.813762988055758,11.221023229956627
54,5.717529253471171,12.765989684462546
55,5.729113317606355,14.153197329640388
56,5.382926155168277,10.636035352349282
57,5.200546340288908,13.259883769452571
58,4.984250043924803,14.251301695108413
59,5.1169645344229195,11.378262093961238
60,4.764732949668723,15.284768769443035
